actor,films,film_votes,votes_per_film,directors
Alexander Lang,1,1,1.00,Konrad Wolf
Alexander Podorozhni,1,1,1.00,Aleksandr Dovzhenko
Alexandra Aidini,1,1,1.00,Theodoros Angelopoulos
Alexandra Day,1,1,1.00,John Wintergate
Alexandra London,1,1,1.00,Maurice Pialat
Alexandre Mirat,1,1,1.00,Raúl Ruiz
Alexei Ejboshenko,1,1,1.00,Konrad Wolf
Alexei Vanin,1,1,1.00,Vasili Shukshin
Alfonso Villar,1,1,1.00,Philip Parreno/Douglas Gordon
Alfred Lutter,1,1,1.00,Martin Scorsese
Ali Nassirian,1,1,1.00,Dariush Mehrjui
Ali Suliman,1,1,1.00,Hany Abu-Assad
Alice Patten,1,1,1.00,Rakeysh Omprakash Mehra
Alice Terry,1,1,1.00,Rex Ingram
Alison Steadman,1,1,1.00,Mike Leigh
Alix Cléo-roubaud,1,1,1.00,Jean Eustache
Alla Nazimova,1,1,1.00,Alla Nazimova
Almanta Suska,1,1,1.00,Lucio Fulci
Amala Shankar,1,1,1.00,Uday Shankar
Amie Huguenard,1,1,1.00,Werner Herzog
Amina Rizk,1,1,1.00,Salah Abu Seif
Aminata Fall,1,1,1.00,Ababacar Samb-Makharam
Amira Casar,1,1,1.00,Werner Schroeter
Amssatou Maiga,1,1,1.00,Gaston Kaboré
Ana Milosavljevic,1,1,1.00,Dusan Makavejev
Ana Wilson,1,1,1.00,Sara Maldoror
Anaïs Nin,1,1,1.00,Maya Deren
Analia Couceyro,1,1,1.00,Albertina Carri
Anapola Mushkadiz,1,1,1.00,Carlos Reygadas
Anastasia Virtinskaya,1,1,1.00,George Danelia
András Bálint,1,1,1.00,Istvan Szabo
André Gregory,1,1,1.00,Louis Malle
André Pollack,1,1,1.00,Marcel Pagnol
Andre Soubeyran,1,1,1.00,Kenneth Anger
Andrea Bacci,1,1,1.00,Jean-Marie Straub/Danièle Huillet
Andrea Checchi,1,1,1.00,Mario Soldati
Andrea Palma,1,1,1.00,Alberto Gout
Andrei Myagkov,1,1,1.00,Eldar Ryazanov
Andrés Pazos,1,1,1.00,Pablo Stoll/Juan Pablo Rebella
Andrés Soler,1,1,1.00,Luis Buñuel
Andrew Bennett,1,1,1.00,Leonard Abrahamson
Andrzej Brych,1,1,1.00,Quay Brothers
Andy Garcia,1,1,1.00,Sidney Lumet
Aneh-Mohammad Tarikhi,1,1,1.00,Sohrab Shahid-Saless
Angela Bassett,1,1,1.00,Spike Lee
Angela Burnett,1,1,1.00,Billy Woodberry
Angélica Sancio,1,1,1.00,Laurent Cantet
Aniello Mele,1,1,1.00,Vittorio De Sica
Anki Lidén,1,1,1.00,Lasse Hallström
Ann Dvorak,1,1,1.00,Howard Hawks
Ann Harding,1,1,1.00,Henry Hathaway
Ann Lynn,1,1,1.00,Jack Bond
Ann Sothern,1,1,1.00,Fritz Lang
Ann Todd,1,1,1.00,Joseph Losey
Anna Canzi,1,1,1.00,Ermanno Olmi
Anna Geislerová,1,1,1.00,Jan Svankmajer
Anna Mouglalis,1,1,1.00,Claude Chabrol
Anna Nakagawa,1,1,1.00,Kurosawa Kiyoshi
Anna Paquin,1,1,1.00,Kenneth Lonergan
Annabella Sciorra,1,1,1.00,Abel Ferrara
Anne Brochet,1,1,1.00,Jean-Paul Rappeaneau
Anne Carlisle,1,1,1.00,Slava Tsukerman
Anne Randall,1,1,1.00,Budd Boetticher
Annick Concha,1,1,1.00,Alain Cavalier
Annie Corley,1,1,1.00,Clint Eastwood
Annie Kovaks,1,1,1.00,Gérard Blain
Annie Mcenroe,1,1,1.00,David Byrne
Annie Potts,1,1,1.00,Peter Bogdanovich
Annmarie Fulton,1,1,1.00,Ken Loach
Anny Duperey,1,1,1.00,Alain Resnais
Anny Ondra,1,1,1.00,Alfred Hitchcock
Anthony Dawson,1,1,1.00,Roland Kick
Anthony Eisley,1,1,1.00,Samuel Fuller
Anthony Quayle,1,1,1.00,Alfred Hitchcock
Antoinette Edwards,1,1,1.00,Allan King
Anton Glanzelius,1,1,1.00,Lasse Hallström
Antonietta Pizzorno,1,1,1.00,Luc Moullet/Antonietta Pizzorno
Antonio Esteva,1,1,1.00,Philip Parreno/Douglas Gordon
Antonio Orlando,1,1,1.00,Werner Schroeter
Antonio Passalia,1,1,1.00,Claude Chabrol
Antonio Resines,1,1,1.00,José Luis Cuerda
António Santos,1,1,1.00,Manoel de Oliveira
Antonio Vico,1,1,1.00,Ladislao Vajda
Aranmula Ponnamma,1,1,1.00,Adoor Gopalakrishnan
Arduíno Colassanti,1,1,1.00,Nelson Pereira dos Santos
Ariane Labed,1,1,1.00,Athina Tsangari
Aribert Mog,1,1,1.00,Robert Siodmak
Armando Francioli,1,1,1.00,Vittorio Cottafavi
Aron Lindgren,1,1,1.00,Victor Sjöström
Art Evans,1,1,1.00,Donald Cammell
Art Hindle,1,1,1.00,David Cronenberg
Arthur Hill,1,1,1.00,Sam Peckinpah
Arthur Johnson,1,1,1.00,D.W. Griffith
Artur Aristakisian,1,1,1.00,Artur Aristakisian
Assia Noris,1,1,1.00,Abel Gance
Astrid Ofner,1,1,1.00,Jean-Marie Straub/Danièle Huillet
Atefeh Razavi,1,1,1.00,Rakhshan Bani-Etemad
Aure Atika,1,1,1.00,Stéphane Brizé
Aurélien Recoing,1,1,1.00,Laurent Cantet
Aya Kokumai,1,1,1.00,Kitano Takeshi
Azadeh Zangeneh,1,1,1.00,Mohsen Makhmalbaf
Azizeh Sedighi,1,1,1.00,Marzieh Meshini
Babu Namboodiri,1,1,1.00,Adoor Gopalakrishnan
Bae Doo-na,1,1,1.00,Bong Joon-ho
Barbara Brylska,1,1,1.00,Jerzy Kawalerowicz
Barbara Deloney,1,1,1.00,John Coney
Barbara Kent,1,1,1.00,Pál Fejös
Barbara Laage,1,1,1.00,Vittorio Cottafavi
Barbara Murray,1,1,1.00,Henry Cornelius
Barbara Polomska,1,1,1.00,Andrzej Munk
Bárbara Vieira,1,1,1.00,Manoel de Oliveira
Barry Bostwick,1,1,1.00,Jim Sharman
Barry Foster,1,1,1.00,Alfred Hitchcock
Barry Miller,1,1,1.00,John Badham
Barry Pepper,1,1,1.00,Tommy Lee Jones
Barry Primus,1,1,1.00,Jerry Schatzberg
Barton Heyman,1,1,1.00,John D Hancock
Barton Maclane,1,1,1.00,Fritz Lang
Basil Sydney,1,1,1.00,Laurence Olivier
Béatrice Dalle,1,1,1.00,Claire Denis
Beatriz Lapido,1,1,1.00,Raúl Ruiz
Beau Bridges,1,1,1.00,Martin Ritt
Bedrich Glaser,1,1,1.00,Jan Svankmajer
Bee Vang,1,1,1.00,Clint Eastwood
Belgica Castro,1,1,1.00,Raúl Ruiz
Ben Ellison,1,1,1.00,Isaac Julien
Benoît Ferreux,1,1,1.00,Louis Malle
Bérangère Haubruge,1,1,1.00,Lucile Hadzihalilovic
Bérénice Bejo,1,1,1.00,Michel Hazanavicius
Bernard Verley,1,1,1.00,Eric Rohmer
Bernd Broaderup,1,1,1.00,Frank Ripploh
Bernhard Goetzke,1,1,1.00,Fritz Lang
Bert Sotlar,1,1,1.00,Giuseppe De Santis
Berta Ruiz,1,1,1.00,Carlos Reygadas
Bessie Love,1,1,1.00,John Krish
Betty Garrett,1,1,1.00,Stanley Donen/Gene Kelly
Betty Warren,1,1,1.00,Henry Cornelius
Bilge Bingül,1,1,1.00,Thomas Arslan
Bill Beutel,1,1,1.00,Kenneth Anger
Bill Hunter,1,1,1.00,Peter Weir
Billie Whitelaw,1,1,1.00,John Boorman
Billy Edwards,1,1,1.00,Allan King
Binta Cisse,1,1,1.00,Otar Iosseliani
Blanche Payson,1,1,1.00,James Parrott
Blanche Sweet,1,1,1.00,D.W. Griffith
Blythe Danner,1,1,1.00,Woody Allen
Bob Brady,1,1,1.00,Slava Tsukerman
Bob Gunton,1,1,1.00,Frank Darabont
Bob Random,1,1,1.00,Budd Boetticher
Bodjie Pascua,1,1,1.00,Raya Martin
Bogart Edwards,1,1,1.00,Allan King
Bogusław Linda,1,1,1.00,Krzysztof Kieslowski
Boris Andreyev,1,1,1.00,Yuliya Solntseva
Brady Corbet,1,1,1.00,Sean Durkin
Brendan Gleeson,1,1,1.00,Martin McDonagh
Brian Aherne,1,1,1.00,George Cukor
Brian Cox,1,1,1.00,Woody Allen
Brian Dennehy,1,1,1.00,Baz Luhrmann
Brian Kotzur,1,1,1.00,Harmony Korine
Brian Rix,1,1,1.00,Maurice Elvey
Bridget Fonda,1,1,1.00,Roger Corman
Brigid Polk,1,1,1.00,Andy Warhol
Brigitte Horney,1,1,1.00,Robert Siodmak
Britt Ekland,1,1,1.00,Robin Hardy
Broderick Crawford,1,1,1.00,Federico Fellini
Bruce Balaban,1,1,1.00,Pier Paolo Pasolini
Bruce Boxleitner,1,1,1.00,Steven Lisberger
Bruce Lacey,1,1,1.00,Bob Godfrey
Bruce Spence,1,1,1.00,George Miller
Bruce Willis,1,1,1.00,John McTiernan
Bruno Putzulu,1,1,1.00,Jean-Luc Godard
Bruno Timpano,1,1,1.00,Michelangelo Frammartino
Bruno Todeschini,1,1,1.00,Werner Schroeter
Bryan Larkin,1,1,1.00,Oliver Stone
Buba Bayour,1,1,1.00,Abbas Kiarostami
Buck Jones,1,1,1.00,Frank Borzage
Bunta Sugawara,1,1,1.00,Tai Kat
Burgess Meredith,1,1,1.00,Jean-Luc Godard
Burl Ives,1,1,1.00,Nicholas Ray
Calvin Lockhart,1,1,1.00,John Boorman
Cameron Bright,1,1,1.00,Jonathan Glazer
Cameron Diaz,1,1,1.00,Charlie Kaufman/Spike Jonze
Candace Evanofski,1,1,1.00,David Gordon Green
Candace Laughlin,1,1,1.00,Les Blank
Carl Mahon,1,1,1.00,Oscar Micheaux
Carl Möhner,1,1,1.00,Jules Dassin
Carl-Gustaf Lindstedt,1,1,1.00,Bo Widerberg
Carlo Benetti,1,1,1.00,Francesca Bertini
Carlo Cabrini,1,1,1.00,Ermanno Olmi
Carlos Soto,1,1,1.00,Javier Fesser
Carmen Scarpitta,1,1,1.00,Luigi Magni
Carol Haney,1,1,1.00,George Abbott/Stanley Donen
Carola Neher,1,1,1.00,G W Pabst
Carola Regnier,1,1,1.00,Stephen Dwoskin
Caroline Cartier,1,1,1.00,Jacques Rozier
Caroline Ducey,1,1,1.00,Catherine Breillat
Cary Elwes,1,1,1.00,Rob Reiner
Cate Blanchett,1,1,1.00,Alejandro González Iñárritu
Catherine Belkhodja,1,1,1.00,Chris Marker
Catherine Duport,1,1,1.00,Jerzy Skolimowski
Catherine Hessling,1,1,1.00,Jean Renoir
Catherine Keener,1,1,1.00,Charlie Kaufman/Spike Jonze
Catherine Rouvel,1,1,1.00,Jean Renoir
Catherine Spaak,1,1,1.00,Dino Risi
Catherine Wilkening,1,1,1.00,Denys Arcand
Catriona Maccoll,1,1,1.00,Lucio Fulci
Cécile Camp,1,1,1.00,Jean-Luc Godard
Cedric Hardwicke,1,1,1.00,Rouben Mamoulian
Celia Birtwell,1,1,1.00,Jack Hazan
Celia Montalvan,1,1,1.00,Jean Renoir
Celia Ramirez,1,1,1.00,Philip Parreno/Douglas Gordon
César Chauveau,1,1,1.00,Gérard Blain
Chakree Duangklao,1,1,1.00,Apichatpong Weerasethakul
Chantal Mercier,1,1,1.00,François Truffaut
Charles Blavette,1,1,1.00,Jean Renoir
Charles Durning,1,1,1.00,Brian De Palma
Charles Gray,1,1,1.00,Terence Fisher
Charles Millot,1,1,1.00,Alain Robbe-Grillet
Charles Paton,1,1,1.00,Alfred Hitchcock
Charles Pitt,1,1,1.00,Russ Meyer
Charlie McDermott,1,1,1.00,Courtney Hunt
Charlotte Alexandra,1,1,1.00,Catherine Breillat
Charlotte Cornwell,1,1,1.00,Clint Eastwood
Chen Kun,1,1,1.00,Sijie Dai
Cheryl Tiegs,1,1,1.00,Vincent Gallo
Chevy Chase,1,1,1.00,Michael Ritchie
Chiara Conti,1,1,1.00,Marco Bellocchio
Chôichorô Kawarazaki,1,1,1.00,Imamura Shohei
Chris Carter,1,1,1.00,Derek Jarman
Chris Frantz,1,1,1.00,Jonathan Demme
Chris Klein,1,1,1.00,Alexander Payne
Chris Penn,1,1,1.00,Abel Ferrara
Chrissy Rock,1,1,1.00,Ken Loach
Christian Slater,1,1,1.00,Tony Scott
Christina Applegate,1,1,1.00,Adam McKay
Christina Ricci,1,1,1.00,Vincent Gallo
Christine Hébert,1,1,1.00,Luc Moullet/Antonietta Pizzorno
Christo Javacheff,1,1,1.00,Albert Maylses
Christoph Hemmerling,1,1,1.00,Klaus Wyborny
Christopher Abbott,1,1,1.00,Sean Durkin
Christopher Eigeman,1,1,1.00,Whit Stillman
Christos Stergioglou,1,1,1.00,Yorgos Lanthimos
Chuck Riley,1,1,1.00,Sheldon Renan/Leonard Schrader
Chuck Wein,1,1,1.00,Andy Warhol
Cicely Browne,1,1,1.00,Federico Fellini
Cillian Murphy,1,1,1.00,Ken Loach
Cinzia Monreale,1,1,1.00,Lucio Fulci
Claude Aufaure,1,1,1.00,Patrice Leconte
Claude Baignères,1,1,1.00,Jean-Luc Godard
Claude Cernay,1,1,1.00,Gérard Blain
Claude Dauphin,1,1,1.00,Jacques Becker
Claude Hébert,1,1,1.00,Jacques Doillon
Claude Mercault,1,1,1.00,Michel Deville
Claude Revenant,1,1,1.00,Kenneth Anger
Claudia Gerini,1,1,1.00,Mel Gibson
Claudia Karvan,1,1,1.00,Gillian Armstrong
Clemens Scheitz,1,1,1.00,Werner Herzog
Cliff Robertson,1,1,1.00,Sydney Pollack
Clifford McLaglen,1,1,1.00,Alberto Cavalcanti
Coca Bloos,1,1,1.00,Lucian Pintilie
Colin Blakely,1,1,1.00,Billy Wilder
Colin Cantlie,1,1,1.00,Peter Greenaway
Colin Firth,1,1,1.00,Tom Hooper
Colm Feore,1,1,1.00,François Girard
Conceição Senna,1,1,1.00,Jorge Bodanzky/Orlando Senna
Connie Nielsen,1,1,1.00,Ridley Scott
Corinne Grant,1,1,1.00,W.S. Van Dyke
Cornel Wilde,1,1,1.00,Cornel Wilde
Craig Wasson,1,1,1.00,Arthur Penn
Creighton Hale,1,1,1.00,Ernst Lubitsch
Cristina Hoyos,1,1,1.00,Carlos Saura
Curd Jürgens,1,1,1.00,Nicholas Ray
Cynthia Bain,1,1,1.00,Tobe Hooper
Cyril Cusack,1,1,1.00,Carol Reed
Cyril Roy,1,1,1.00,Gaspar Noe
D'Urville Martin,1,1,1.00,D'Urville Martin
Daisuke Katô,1,1,1.00,Naruse Mikio
Daliah Lavi,1,1,1.00,Mario Bava
Dan Duryea,1,1,1.00,Anthony Mann
Dan Hedaya,1,1,1.00,Joel & Ethan Coen
Dan Jiji,1,1,1.00,Tian Zhuangzhuang
Dan O'Herlihy,1,1,1.00,Paul Verhoeven
Dana Wheeler-Nicholson,1,1,1.00,Michael Ritchie
Daniel Brühl,1,1,1.00,Wolfgang Becker
Daniel Cauchy,1,1,1.00,Jean-Pierre Melville
Daniel Craig,1,1,1.00,David Fincher
Daniel Descamps,1,1,1.00,Jacques Rozier
Daniel Emilfork,1,1,1.00,Marc Caro/Jean-Pierre Jeunet
Daniel London,1,1,1.00,Kelly Reichardt
Daniela Holtz,1,1,1.00,Maren Ade
Danièle Croisy,1,1,1.00,Jacques Rozier
Danièle Delorme,1,1,1.00,Jacqueline Audry
Daniella Rocca,1,1,1.00,Pietro Germi
Danilo Mattei,1,1,1.00,Luigi Magni
Danny Huston,1,1,1.00,Jonathan Glazer
Daria Nicolodi,1,1,1.00,Dario Argento
Dario Marconcini,1,1,1.00,Jean-Marie Straub/Danièle Huillet
Darshan Jariwala,1,1,1.00,Anil Mehta
Darya Ashouri,1,1,1.00,Abbas Kiarostami
David Bowie,1,1,1.00,Oshima Nagisa
David Brian,1,1,1.00,King Vidor
David Byrne,1,1,1.00,Jonathan Demme
David Douche,1,1,1.00,Bruno Dumont
David Gutman,1,1,1.00,Grigori Kozintsev/Leonid Trauberg
David Hockney,1,1,1.00,Jack Hazan
David Keith,1,1,1.00,Donald Cammell
David King,1,1,1.00,R Bruce Elder
David McKay,1,1,1.00,Ken Loach
David Naughton,1,1,1.00,John Landis
David Selby,1,1,1.00,Gordon Parks
David Torrence,1,1,1.00,FW Murnau
David Warbeck,1,1,1.00,Lucio Fulci
Davy Jones,1,1,1.00,Bob Rafelson
Dawn Croft,1,1,1.00,Margaret Tait
Dax Shepard,1,1,1.00,Mike Judge
Debbie Mulcahy,1,1,1.00,James Fotopoulos
Deborah Unger,1,1,1.00,David Cronenberg
Deborah Winters,1,1,1.00,Jack Lemmon
Debra Winger,1,1,1.00,Richard Attenborough
Debraj Roy,1,1,1.00,Satyajit Ray
Del Moore,1,1,1.00,Jerry Lewis
Denholm Elliott,1,1,1.00,James Ivory
Denise Coffey,1,1,1.00,Steve Robert
Denise Darcel,1,1,1.00,Robert Aldrich
Denzel Washington,1,1,1.00,Spike Lee
Derek Keurvorst,1,1,1.00,François Girard
DeVerne Bookwalter,1,1,1.00,Andy Warhol
Dhritiman Chatterjee,1,1,1.00,Satyajit Ray
Diana Rigg,1,1,1.00,Douglas Hickox
Diane Cilento,1,1,1.00,Robin Hardy
Diane Clare,1,1,1.00,John Gilling
Dick Graham,1,1,1.00,Peter Watkins
Diego Maradona,1,1,1.00,Tony Maylam
Dieter Dengler,1,1,1.00,Werner Herzog
Dieter Montag,1,1,1.00,Konrad Wolf
Dimond Remtulia,1,1,1.00,Hubert Sauper
Dina Sfat,1,1,1.00,Joaquim Pedro de Andrade
Dizzy Gillespie,1,1,1.00,Shirley Clarke
Djivan Gasparyan,1,1,1.00,Atom Egoyan
Dmitri Dorliak,1,1,1.00,Abram Room
Dogmid Sosorbaram,1,1,1.00,I. Nyamgavaa
Domingos Oliviera,1,1,1.00,Sara Maldoror
Dominique Blanc,1,1,1.00,Dominique Cabrera
Dominique Prado,1,1,1.00,Alain Robbe-Grillet
Don Ameche,1,1,1.00,Mitchell Leisen
Don Fellows,1,1,1.00,William Greaves
Don King,1,1,1.00,Leon Gast
Don Murray,1,1,1.00,Otto Preminger
Donald Holden,1,1,1.00,David Gordon Green
Donald Reading,1,1,1.00,Leslie Thornton
Donna Kerness,1,1,1.00,George Kuchar
Doris Nolan,1,1,1.00,George Cukor
Dorothea Wieck,1,1,1.00,Leontine Sagan/Carl Froelich
Dorothy McGuire,1,1,1.00,Elia Kazan
Dorothy Tristan,1,1,1.00,Jerry Schatzberg
Douglas Gray,1,1,1.00,Bob Godfrey
Dougray Scott,1,1,1.00,Xavier Gens
Dragoljub Aleksic,1,1,1.00,Dusan Makavejev
Drew Barrymore,1,1,1.00,Woody Allen
Duncan Elliott,1,1,1.00,Mikhail Romm
Dustin Scott,1,1,1.00,John Gianvito
Dylan Baker,1,1,1.00,Todd Solondz
E. Umurzakov,1,1,1.00,Shaken Aimanov
Eberhard Klasse,1,1,1.00,Rudolf Thome
Ebru Ceylan,1,1,1.00,Nuri Bilge Ceylan
Ed Harris,1,1,1.00,Philip Kaufman
Edda Barends,1,1,1.00,Marleen Gorris
Eddie Albert,1,1,1.00,William Wyler
Eddie Axberg,1,1,1.00,Jan Troell
Edgars Liepinche,1,1,1.00,Aivars Freimanis
Edith Clever,1,1,1.00,Peter Handke
Edith Posca,1,1,1.00,Lupu Pick
Edith Rosset,1,1,1.00,Gerald Kargl
Edmond O'Brien,1,1,1.00,Raoul Walsh
Edouard Delmont,1,1,1.00,Marcel Pagnol
Eduardo Carvajal,1,1,1.00,Carlos Mayolo/Luis Ospina
Eduardo Fernández,1,1,1.00,Alejandro González Iñárritu
Eduardo Noriega,1,1,1.00,Guillermo del Toro
Edward Chapman,1,1,1.00,William Cameron Menzies
Edward Dziewonski,1,1,1.00,Andrzej Munk
Edward Hardwicke,1,1,1.00,Richard Attenborough
Edward Herrmann,1,1,1.00,Warren Beatty
Edward Woodward,1,1,1.00,Robin Hardy
Edyta Jungowska,1,1,1.00,Dorota Kedzierzawska
Eiji Funakoshi,1,1,1.00,Kon Ichikawa
Eijirô Yanagi,1,1,1.00,Mizoguchi Kenji
Eileen Herlie,1,1,1.00,Laurence Olivier
Einar Röd,1,1,1.00,Carl Theodor Dreyer
Ekateryna Rak,1,1,1.00,Ulrich Seidl
Eko Supriyanto,1,1,1.00,Garin Nugroho
El Brendel,1,1,1.00,Raoul Walsh
Ela Shapira,1,1,1.00,Roee Rosen
Elaine May,1,1,1.00,Elaine May
Eleanor Bron,1,1,1.00,Stanley Donen
Eleanor Parker,1,1,1.00,Vincente Minnelli
Eléna Popova,1,1,1.00,Vitali Kanevsky
Elena Proklova,1,1,1.00,Aleksandr Mitta
Elena Solovei,1,1,1.00,Nikita Mikhalkov
Elijah Wood,1,1,1.00,Peter Jackson
Elion Sucher,1,1,1.00,James Benning
Elisa Andrade,1,1,1.00,Sara Maldoror
Elisabeth Huart,1,1,1.00,Marcel Hanoun
Elisabeth Moreau,1,1,1.00,Luc Moullet
Elisabeth Olsen,1,1,1.00,Sean Durkin
Elisabeth Stepanek,1,1,1.00,Helma Sanders-Brahms
Elizabeth Ashley,1,1,1.00,Todd Solondz
Elizabeth Berkley,1,1,1.00,Paul Verhoeven
Elizaveta Korolyova,1,1,1.00,Aleksandr Sokurov
Elke Aberle,1,1,1.00,Rainer Werner Fassbinder
Ellen Mclaughlin,1,1,1.00,Jon Jost
Ellen Schwanneke,1,1,1.00,Leontine Sagan/Carl Froelich
Elmer Booth,1,1,1.00,D.W. Griffith
Elsa Zylberstein,1,1,1.00,Raúl Ruiz
Elvira Quintillá,1,1,1.00,Luis García Berlanga
Elza Radzin-Szolkonis,1,1,1.00,Grigori Kozintsev
Elza Radzinya,1,1,1.00,Grigori Kozintsev
Elzbieta Czyzewska,1,1,1.00,Wojciech Has
Emer McCourt,1,1,1.00,Ken Loach
Emilia Dobrin,1,1,1.00,Alexandru Tatos
Emilie Unda,1,1,1.00,Robert Siodmak
Emine Ceylan,1,1,1.00,Nuri Bilge Ceylan
Emy Storm,1,1,1.00,Bo Widerberg
Enrico Rivero,1,1,1.00,Jean Cocteau
Ensemble Instrumental,1,1,1.00,Raúl Ruiz
Eri Misawa,1,1,1.00,Toshio Matsumoto
Eric Campbell,1,1,1.00,Charles Chaplin
Eric Lindholm,1,1,1.00,Victor Sjöström
Eric Porter,1,1,1.00,Derek Williams
Erich Kober,1,1,1.00,Henrik Galeen
Erich Nadler,1,1,1.00,Wolfgang Staudte
Erik Satie,1,1,1.00,René Clair
Erika Szegedi,1,1,1.00,Zoltán Huszárik
Eriq Ebouaney,1,1,1.00,Raoul Peck
Ernesto Laguardia,1,1,1.00,Arturo Ripstein
Errol Flynn,1,1,1.00,Raoul Walsh
Erwin Leder,1,1,1.00,Gerald Kargl
Eskender Umarov,1,1,1.00,Aleksandr Sokurov
Eslanda Robeson,1,1,1.00,Kenneth MacPherson
Estelle Taylor,1,1,1.00,Cecil B DeMille
Ethel Barrymore,1,1,1.00,William Dieterle
Etsuko Ichihara,1,1,1.00,Imamura Shohei
Ettore Manni,1,1,1.00,Tony Richardson
Eugen Klöpfer,1,1,1.00,Lupu Pick
Eugen Sandow,1,1,1.00,William K.L. Dickson
Eugene Roche,1,1,1.00,George Roy Hill
Eva Csapè,1,1,1.00,Jean-Marie Straub/Danièle Huillet
Eva Grimm,1,1,1.00,John Cook
Eva Löbau,1,1,1.00,Maren Ade
Eva Mattes,1,1,1.00,Helma Sanders-Brahms
Eva Ras,1,1,1.00,Dusan Makavejev
Éva Ruttkai,1,1,1.00,Zoltán Huszárik
Evangelia Randou,1,1,1.00,Athina Tsangari
Evaristo Márquez,1,1,1.00,Gillo Pontecorvo
Eve Egoyan,1,1,1.00,Atom Egoyan
Evelyn Brent,1,1,1.00,Josef von Sternberg
Evelyn Keyes,1,1,1.00,Joseph Losey
Evelyne Didi,1,1,1.00,Aki Kaurismaki
Everett McGill,1,1,1.00,Monte Hellman
Everlyn Sampi,1,1,1.00,Phillip Noyce
Evgenia Glushenko,1,1,1.00,Nikita Mikhalkov
Evgeny Evstignyev,1,1,1.00,Elem Klimov
Ewa Dalkowska,1,1,1.00,Andrzej Wajda
Ewa Pokas,1,1,1.00,Krzysztof Kieslowski
Ezzatollah Entezami,1,1,1.00,Dariush Mehrjui
Fanny Cottençon,1,1,1.00,Chantal Akerman
Farah Hatoum,1,1,1.00,Michael Khleifi
Farimah Farjami,1,1,1.00,Rakhshan Bani-Etemad
Fatima Sanga,1,1,1.00,Idrissa Ouedraogo
Fatma Ceylan,1,1,1.00,Nuri Bilge Ceylan
Fay Holderness,1,1,1.00,Pál Fejös
Federico Luppi,1,1,1.00,Guillermo del Toro
Felix Aylmer,1,1,1.00,Laurence Olivier
Ferenc Fabian,1,1,1.00,András Kovács
Ferhed Kherdamend,1,1,1.00,Abbas Kiarostami
Fernand Gravey,1,1,1.00,Abel Gance
Fernand Léger,1,1,1.00,Fernand Léger/Dudley Murphy
Fernand Sardou,1,1,1.00,Jean Renoir
Fernando Heitor,1,1,1.00,José Álvaro Morais
Fethi Ghares,1,1,1.00,Tarek Teguia
Feyzolah Ghashghai,1,1,1.00,Mohsen Makhmalbaf
Filippo Timi,1,1,1.00,Marco Bellocchio
Fiorella Mari,1,1,1.00,Paolo and Vittorio Taviani
Firuz Sabzaliev,1,1,1.00,Bakhtiyar Khudoinazarov
Flora Robson,1,1,1.00,Lance Comfort
Florence Giorgetti,1,1,1.00,Claude Goretta
Florence Vidor,1,1,1.00,Ernst Lubitsch
Florian Stetter,1,1,1.00,Thomas Arslan
Florinda Bolkan,1,1,1.00,Elio Petri
Floyd McClure,1,1,1.00,Errol Morris
Forest Whitaker,1,1,1.00,Neil Jordan
Fosco Giachetti,1,1,1.00,Goffredo Alessandrini
Franca Valeri,1,1,1.00,Dino Risi
Frances Sternhagen,1,1,1.00,Philippe Mora
Francesca Annis,1,1,1.00,David Lynch
Francesca Bertini,1,1,1.00,Francesca Bertini
Francesco Anniballi,1,1,1.00,Ettore Scola
Francis Picabia,1,1,1.00,René Clair
Franco Fortini,1,1,1.00,Jean-Marie Straub/Danièle Huillet
Franco Franchi,1,1,1.00,Pier Paolo Pasolini
François Bégaudeau,1,1,1.00,Laurent Cantet
François Berléand,1,1,1.00,Catherine Breillat
François Marthouret,1,1,1.00,Michel Deville
Françoise Guégan,1,1,1.00,Jacques Rozier
Françoise Seigner,1,1,1.00,François Truffaut
Françoise Verley,1,1,1.00,Eric Rohmer
Frank Jennings,1,1,1.00,W.S. Van Dyke
Frank Powell,1,1,1.00,D.W. Griffith
Frank Ripploh,1,1,1.00,Frank Ripploh
Frank Villard,1,1,1.00,Jacqueline Audry
Frank Westbrook,1,1,1.00,Maya Deren
Fred Melamed,1,1,1.00,Joel & Ethan Coen
Frederic Forrest,1,1,1.00,Francis Ford Coppola
Fritz Rasp,1,1,1.00,G W Pabst
Gabe Nevins,1,1,1.00,Gus van Sant
Gabriel Alw,1,1,1.00,Carl Theodor Dreyer
Gabriele Lavia,1,1,1.00,Dario Argento
Gabrielle Rose,1,1,1.00,Atom Egoyan
Gaby Morlay,1,1,1.00,Jean Grémillon
Galina Volchek,1,1,1.00,Grigori Kozintsev
Garo Tchaliguian,1,1,1.00,Atom Egoyan
Gary Busey,1,1,1.00,Kathryn Bigelow
Gary Cole,1,1,1.00,Mike Judge
Gary Raymond,1,1,1.00,Don Chaffey
Geneviève Galéa,1,1,1.00,Jean-Luc Godard
Génica Athanasiou,1,1,1.00,Germaine Dulac
Geo Barton,1,1,1.00,Alexandru Tatos
Geong Lim,1,1,1.00,Hsiao-hsien Hou
Georg Rydeberg,1,1,1.00,Carl Theodor Dreyer
George Clooney,1,1,1.00,Steven Soderbergh
George Devine,1,1,1.00,Tony Richardson
George Foreman,1,1,1.00,Leon Gast
